Time,Maximum temperature,Minimum temperature,Rainfall,Maximum Windspeed 10m
20240312,30.115204,14.020416,0.5308564,3.7505758
20240313,30.92044,15.077179,0.055949092,4.853389
20240314,30.615936,12.790802,0.0,5.956175
20240315,30.355988,10.71225,0.0,3.5136259
20240316,30.704254,9.951996,0.0,4.209571
20240317,31.36621,8.589142,0.0,4.187262
20240318,31.057953,9.99472,0.0,2.89944
Time,Maximum temperature,Minimum temperature,Rainfall,Maximum Windspeed 10m
20240312,30.115204,14.020416,0.5308564,3.7505758
20240313,30.92044,15.077179,0.055949092,4.853389
20240314,30.615936,12.790802,0.0,5.956175
20240315,30.355988,10.71225,0.0,3.5136259
20240316,30.704254,9.951996,0.0,4.209571
20240317,31.36621,8.589142,0.0,4.187262
20240318,31.057953,9.99472,0.0,2.89944
